PERIOD,YEAR,STATS_VALUE
April,1984,36.2
May,1984,9.9
June,1984,0
January,1985,102.7
February,1985,69
March,1986,15.1
April,1986,28.2
May,1986,7.7
March,1987,0
April,1987,32.2
May,1987,0
June,1987,0
April,1988,18.8
June,1988,0
June,1989,0
December,1990,77.1
May,1991,0
June,1991,0
April,1992,0
June,1992,0
June,1993,0
December,1993,58.1
January,1994,104.6
May,1994,5.6
June,1994,0
April,1995,8.1
May,1995,0
June,1995,0
October,1995,0
December,1995,101.2
November,1996,24.1
March,1997,10.1
May,1997,11.3
June,1997,0
November,1997,68.4
December,1997,77.1
January,1998,99
August,1998,0
September,1998,0
October,1998,0
August,1999,0
December,1999,32.5
January,2000,69.6
February,2000,80.6
March,2000,30.3
April,2000,4
May,2000,0
June,2000,0
October,2000,0
November,2000,0
December,2000,73
February,2001,79.8
March,2001,66
April,2001,28.4
May,2001,1.4
June,2001,0
July,2001,0
August,2001,0
September,2001,0
October,2001,2.9
November,2001,41.6
December,2001,93.2
January,2002,7.3
February,2002,32.6
March,2002,52.9
April,2002,0
May,2002,0
June,2002,0
July,2002,0
August,2002,0
September,2002,0
October,2002,65.2
November,2002,34
December,2002,81
January,2003,73.4
February,2003,69
March,2003,60.3
April,2003,0
May,2003,0
June,2003,0
December,2003,36.4
January,2004,91.5
February,2004,35
March,2004,27.8
April,2004,0
May,2004,0
June,2004,0
July,2004,0
August,2004,0
September,2004,0
October,2004,0
November,2004,79.3
December,2004,32.4
January,2005,88
February,2005,32.6
March,2005,27.8
April,2005,5.4
May,2005,0
June,2005,0
December,2005,48.8
January,2006,73.4
February,2006,58.1
March,2006,0
April,2006,14.7
May,2006,0
June,2006,0
July,2006,0
August,2006,0
September,2006,2.5
October,2006,24.1
November,2006,45.3
December,2006,48.6
January,2007,99.1
February,2007,79.9
March,2007,37.9
April,2007,6.7
May,2007,0
June,2007,0.6
July,2007,0
August,2007,0
September,2007,16.9
October,2007,10.6
November,2007,75.5
December,2007,89.2
January,2008,106.6
February,2008,48.9
March,2008,50.6
April,2008,9.3
May,2008,0
June,2008,0
July,2008,0
August,2008,0
September,2008,0
October,2008,28.9
November,2008,98.1
December,2008,73.2
January,2009,121.1
February,2009,30.4
March,2009,42.6
April,2009,31
May,2009,0
June,2009,0
July,2009,0
August,2009,0
September,2009,0
October,2009,8.2
November,2009,75
December,2009,94.4
January,2010,107
February,2010,81.3
June,2010,0
July,2010,0
August,2010,0
September,2010,0
October,2010,36.5
November,2010,79.5
December,2010,106.3
January,2011,102.4
February,2011,82
March,2011,47.5
April,2011,1.6
May,2011,0.9
June,2011,0
July,2011,0
August,2011,0
September,2011,0
October,2011,0
November,2011,0
December,2011,46.9
January,2012,115.4
February,2012,47.6
March,2012,39
April,2012,14.9
May,2012,0.9
June,2012,0
July,2012,0
August,2012,0
September,2012,0
October,2012,6.4
November,2012,71.5
December,2012,113.9
January,2013,116.1
February,2013,106
March,2013,43.8
April,2013,1.5
May,2013,0
June,2013,0
July,2013,0
August,2013,0
September,2013,14.7
November,2013,85.3
December,2013,73.9
January,2014,135.6
February,2014,80.4
August,2014,0
September,2014,0
October,2014,56.6
December,2014,125.8
January,2015,129.1
February,2015,105.2
May,2015,0
June,2015,0
July,2015,0
August,2015,0
September,2015,0
October,2015,32.2
November,2015,116.4
January,2016,30.9
March,2016,63.4
April,2016,48.4
May,2016,19.6
June,2016,0
July,2016,0
August,2016,0
September,2016,0
October,2016,24.5
November,2016,86.3
December,2016,113.3
February,2017,99
March,2017,44.8
May,2017,0
June,2017,0
July,2017,0
August,2017,0
September,2017,0
October,2017,0
December,2017,120.4
June,2018,0
July,2018,0
August,2018,0
September,2018,0
October,2018,0
January,2019,144.7
November,2019,89.7
December,2019,100.1
January,2020,105.3
February,2020,96.5
April,2020,18.2
June,2020,0
July,2020,0
August,2020,0
September,2020,0
October,2020,79.5
December,2020,86.5
March,2021,80.7
April,2021,28.7
May,2021,0
June,2021,0
July,2021,0
August,2021,0
September,2021,0
October,2021,43.1
November,2021,90.3
December,2021,22.9
January,2022,101.8
February,2022,6.4
March,2022,36.6
April,2022,42
May,2022,6.3
June,2022,0.8
July,2022,0
August,2022,0
September,2022,0
October,2022,0
December,2022,113.8
January,2023,127.1
February,2023,46.9
March,2023,21.3
April,2023,0
May,2023,0
June,2023,0
July,2023,0
August,2023,0
September,2023,0
October,2023,0
March,2024,35.3
April,2024,30.3
May,2024,0
June,2024,0
July,2024,0
August,2024,0
September,2024,0
October,2024,16
November,2024,85.2
December,2024,67.7
January,2025,52.4
March,2025,5.5
April,2025,1.5
May,2025,0
June,2025,0
